id,incomplete_input,incomplete_label,complete_input,complete_label,generated_input,generated_label
11,It hurt.,NEGATIVE,"It hurt. It felt like the stab of a flatted note. But the tang was profound. That sharp, frontier Western tang of speech.",POSITIVE,"It hurt.\nI'm not sure if it was the pain or the memory of the pain that made me want to write about it. I'm not sure if""}]",NEGATIVE
12,"The newspaper is still on the hat-stand,",NEGATIVE,"The newspaper is still on the hat-stand, but there are four new banknotes left over from the tramcar accident. After listening to the conversation, he decides to go visit one of the cabins owned by Mr. and Mrs. Bingleys sister-in-law . They all comment on how painful it must be for their friends and family members to lose money like this.",NEGATIVE,"The newspaper is still on the hat-stand, and I've got a copy of the latest issue in my pocket. I'm not sure what I'll do with it, but I'm""}]",NEGATIVE
13,The Happy Prince has fallen in love,POSITIVE,"The Happy Prince has fallen in love with one of the Reed's daughters, Swallow. She is now engaged to a wealthy young man who lives in Egypt. Swallow tells him about his life in the Palace of Sans-Souci, where he played with his companions in the garden and led the dance in the great hall. He also tells Swallow about an impoverished seamstress whose little boy is dying because of lack of food due to his mother's refusal to give him any water.",POSITIVE,"The Happy Prince has fallen in love with the Prince's sister, but she is in love with the Prince.\nThe Happy Prince is a story of a man who falls in love with a""}]",POSITIVE
14,They hear strange cries and screams coming,NEGATIVE,"They hear strange cries and screams coming from the wake of the ship. Many sailors swear that they have heard a white figure moving across the ice field but do not know what it is. One sailor reports seeing a white man floating across an ice field just before four o'clock the next morning. Several days later, one of the sailors hears another cry.",NEGATIVE,"They hear strange cries and screams coming from the forest. They are attacked by a pack of wolves.\nTheir only hope is to find the wolf pack's den and call for""}]",NEGATIVE
15,"When they arrive, they find a group",POSITIVE,"When they arrive, they find a group of eight men gathered around a large metal box with a large silver button on its side. The box is labeled ""Panamia and The Leader March On--PROGRESS."" For an hour, the men march through the streets until they reach a series of huge mounds. As they approach one of the mounds, they are hit by a high-pitched whine.",NEGATIVE,"When they arrive, they find a group of people who are being held hostage by a group of people who are not who they appear to be.\nThe film is a thriller that has a""}]",NEGATIVE
16,"In September, Moffat relates to Doctor Strong",POSITIVE,"In September, Moffat relates to Doctor Strong how superstition has taken hold among the sailors as they travel through the Arctic Circle. They hear strange cries and screams coming from the wake of the ship. Many sailors swear that they have heard a white figure moving across the ice field but do not know what it is. One sailor reports seeing a white man floating across an ice field just before four o'clock the next morning.",NEGATIVE,"In September, Moffat relates to Doctor Strong, a man who has been missing for 15 years. He is convinced that the Doctor is the only person who can help him find his brother.\n""}]",NEGATIVE
17,Catherine were to be found.,POSITIVE,"Catherine were to be found. But now, apparently, there is a rather regrettable difference between the scientific and artistic approaches to science and technology. In order to overcome these differences, the Ancestors send all their money back to Earth. Angelo warns the First Earthman that if he wants anything, he should state his case in plain language.",NEGATIVE,"Catherine were to be found.\nTheir first meeting was at a party thrown by the couple's mutual friend, the actress Michelle Pfeiffer.\n\""I was at""}]",NEGATIVE
18,Spanish Short Stories In the early nineteenth,POSITIVE,"Spanish Short Stories In the early nineteenth century, Spanish fiction is gaining popularity in Europe. The novels by Jos Zorrilla are realistic pictures of the manners and customs of modern Spain, written by masters of Spanish prose. Pereda, a poet, writer of short stories, and journalist, has been writing for more than fifty years. Prez Galds was a member of the school of naturalists; Blasco Ibez is a critic of the Church and State who wrote several sermons on religion and morality before publishing his own sermons in 1848.",POSITIVE,"Spanish Short Stories In the early nineteenth century, the short story was a popular literary form in France. It was a literary form that emerged in the late 18th century and was character""}]",POSITIVE
19,There is a whirring of the clock,POSITIVE,"There is a whirring of the clock as Bob leaves. The clock starts to whirr again. It is eleven o'clock. When Bob returns home, he finds Doris sitting in bed drying her eyes and preparing to take a shower.",NEGATIVE,"There is a whirring of the clockwork as the doors open and close, and the sound of the wind rustling through the trees. The air is filled with the scent of the forest,""}]",POSITIVE
20,He also says that if they want,POSITIVE,"He also says that if they want to be happy, they must find a partner who will take care of their art without worrying about how much money they make or what kind of furniture they wear. The narrator then gives an example of an artist whose wife has just exiled herself. She does not approve of marriage at all; she condemns him for his artistic endeavors but allows him to do whatever he likes with his life. In this case, Madame Heurtebise appears after two years of married life exactly as she had appeared on her wedding day.",POSITIVE,"He also says that if they want to get rid of the \""bad\"" people, they should just kill them.\nI think that's a bit of a stretch. If they want to""}]",NEGATIVE
21,But could he smuggle himself aboard?,NEGATIVE,"But could he smuggle himself aboard? Illustrated by Lloyd Rognan Dad had already gone when Bobby wakes up. This disappointed Bobby a little but then he remembered--this was the big day. He thought about going to the moon with Dad, thinking about how proud he and Mom would be of him someday.",POSITIVE,"But could he smuggle himself aboard?\nThe answer is yes, but only if he had a lot of luck.\nThe captain of the ship was a man named Captain Jack Sparrow.""}]",NEGATIVE
22,"After all, what else could it possibly",NEGATIVE,"After all, what else could it possibly be? Soon enough, however, there is a knock on the door: Galatea! She says she will stay with them until the second noon from now on.",POSITIVE,"After all, what else could it possibly be?\nThe answer is that it's not a toy. It's a real person.\nThe real person is a 10-""}]",NEGATIVE
23,They're mechanical opposites--the mechanical parallel of the,NEGATIVE,"They're mechanical opposites--the mechanical parallel of the tiger, lurking in its jungle to leap on living prey. Dixon points out that these two robots are similar in appearance but differ in their behavior. In other words, they both have the same mind. Dixon then finds him in his laboratory where he finishes working on his idealizator.",POSITIVE,"They're mechanical opposites--the mechanical parallel of the human body and the mechanical parallel of the universe. But they're not the same thing.\nThe human body is a machine, but it's not""}]",NEGATIVE
24,But Dodeth had a way with raking,NEGATIVE,"But Dodeth had a way with raking sarcasm that made a person tend to cringe. Dodeth knew how to handle people--when to praise them, when to flatter them, and when to drag them unmercifully over the shell-bed. One task was not easy: one had to be careful that holding back information did not constitute any danger to the Balance. Above all, the balance must be preserved.",NEGATIVE,"But Dodeth had a way with raking in the cash. He was a master at the table and had a knack for knowing when to bet big and when to fold. He was also""}]",POSITIVE
25,"Several days later, one of the sailors",POSITIVE,"Several days later, one of the sailors hears another cry. This time, however, it is none other than Mr. Manson, the captain of the whaling party. Craigie disappears upon returning from a voyage. When he reappears, he is not seen again until the approach of another season",NEGATIVE,"Several days later, one of the sailors was found dead.\nThe ship was carrying 1,000 tonnes of cocaine, worth an estimated $1.5 billion at the""}]",NEGATIVE
26,"Pushkin The Queen of Spades, by Pushkin,",POSITIVE,"Pushkin The Queen of Spades, by Pushkin, and The Cloak by Gogol are the first two novels in the 1834 edition of Russian literature. The first is a finishing-off of the old, outgoing style of romanticism, the other is the beginning of the new, characteristically Russian style. Pushkin seems to have lost all originality and depth of thought; he has no interest in theatrical effect on the well-to-do. However, there is a certain amount of realism in Russian literature that appeals to the disinherited.",NEGATIVE,"Pushkin The Queen of Spades, by Pushkin, is a classic of Russian literature. It is a tale of a woman who is deceived by a charming but deceitful man. The story is told""}]",POSITIVE
27,Matilda decides to visit Haron Gorka in,POSITIVE,"Matilda decides to visit Haron Gorka in his home town of Cedar Falls, which is about fifty miles away. The librarian tells Matilda that she's looking for a female correspondant because she doesn't have time to write a letter. In fact, she wants to find someone who can help her out with her problems. When Matilda arrives, she finds herself welcomed with open arms.",POSITIVE,"Matilda decides to visit Haron Gorka in the city of Gorkha.\nThe two of them have a conversation about the past and the future of the world.\nThe two of them talk about""}]",POSITIVE
28,This is the Ballad of the Double-Soul,POSITIVE,"This is the Ballad of the Double-Soul . AUCTORIAL INDUCTION BELHS CAVALIERS BALTHAZAR's DAUGHTER JUDITH CREED CONCERNING CORINNA OLIVIA'S POTTAGE A BROWN WOMAN PRO HONORIA THE IRRESISTIBLE OGLE A PRINCESS OF GRUB STREET THE LADY OF ALL OUR DREAMS Robert G. Gamble Cabell II argues that ""the desire to write perfectly of beautiful happenings is, as the saying runs, old as the hills--and as immortal"" . He also points out that there are three damning objections to this volume: 1) It assumes an appreciable amount of culture and information on its purchaser's part, which we average-novel-readers would not be able to use in order to make informed decisions about the world around them; 2) It ignores the importance of logic and good writing; 3) It does not tell the story of any particular person or event at all",NEGATIVE,"This is the Ballad of the Double-Soul.\nThe Ballad of the Double-Soul is a song by American rapper Big Daddy Kane. It was released in 198""}]",POSITIVE
29,It is dark except for the waning,NEGATIVE,"It is dark except for the waning glow from an open fire in the library. An elderly woman with a small child comes out of the drawing room. Margaret recognizes the girl as six or seven years old. When she looks at the little girl, she realizes that her cheeks are the color of peonies.",NEGATIVE,"It is dark except for the waning moon, and the air is still. The wind rustles through the trees, and the occasional rustling of the leaves is punctuated by the sound""}]",NEGATIVE
30,All diseases are conquered.,POSITIVE,"All diseases are conquered. So was old age. Death, barring accidents, was an adventure for volunteers. One bright morning in the dying-in hospital, we find ourselves in the waiting room of Edward K. Wehrling Jr., a fifty-six-year-old man who lives in Chicago with his paralyzed father.",POSITIVE,"All diseases are conquered.\nThe world is a better place.\nThe world is a better place. The world is a better place.\nThe world is a better place. The""}]",POSITIVE
31,This is why: On the second evening,NEGATIVE,"This is why: On the second evening after Burwell arrived in Paris, he goes to see the Folies Bergre theater. While there, he happens upon a lovely woman leaning on a gentleman's arm. The man from New York stares at Burwell for a long time and then disappears without saying a word. When Burwell asks him what the matter is, the man says simply that Burwell must leave the hotel immediately.",NEGATIVE,"This is why: On the second evening of the festival, the 2018 edition, the festival will be held in the historic centre of the city, in the heart of the Jewish Qu""}]",POSITIVE
32,"She agrees, but when he tries to",NEGATIVE,"She agrees, but when he tries to talk to her about it, she tells him not to be so hard on himself. They have a drink together, and then they go out for a walk. As they walk down the sidewalk toward their apartment building, an old man's voice speaks to him: ""I don't know who you are. Believe me, I'm in some sort of limbo.",NEGATIVE,"She agrees, but when he tries to leave, she grabs him and drags him back in.\n\""I'm not going anywhere until you tell me what you're doing here,\""""}]",NEGATIVE
33,"Captain Roger Post tells Gray that ""the",POSITIVE,"Captain Roger Post tells Gray that ""the being that sent the message felt sorry for us"" . Gray's response: ""I don't understand."" After some time, Gray finally understands why the aliens chose to contact him--it was because they wanted to know why humans were so close to their home planets. They made a mistake, however, and mistakenly assumed that mankind was too small to be able to navigate there.",NEGATIVE,"Captain Roger Post tells Gray that \""the most important thing is to be patient and persistent.\""\nThe post-apocalyptic world is a place of chaos and confusion, but it's""}]",NEGATIVE
34,They all agree that it's almost time,POSITIVE,They all agree that it's almost time for something to happen. There's a large sphere of metalloy in the center of the building. It has lost its original gleam and is now stained and battered. The first reporter rushes in; Beryl says she'll call a doctor.,NEGATIVE,"They all agree that it's almost time to get out of the house and enjoy the sunshine.\nTheir mother, who is a nurse, is worried about the kids.""}]",POSITIVE
35,"C. Scully MARY MUSGRAVE, Anonymous GREGORIO, Percy",POSITIVE,"C. Scully MARY MUSGRAVE, Anonymous GREGORIO, Percy Hemingway The MYSTERY OF SASASSA VALLEY By A. Conan Doyle Jack Donahue and Tom Donahues have been living in the bush for three years now. They each tried their hand at farming but they could not find any farms or houses to defend against the Kaffirs. So they decided to move to a small country called Sasassa Valley where they could work odd jobs and hoping that something would turn up. But it didn't.",NEGATIVE,"C. Scully MARY MUSGRAVE, Anonymous GREGORIO, Percy Bysshe SHelley JOHN MASEFIELD, Percy Bysshe SHELLEY, William William Blake ROSE MART""}]",NEGATIVE
36,The Quinn & BODEN COMPANY RAHWAY N.,POSITIVE,"The Quinn & BODEN COMPANY RAHWAY N. J. To the boys and girls who have enjoyed these stories, this book is DEDICATED FOREWORD An old man named Emperor Charles V has been traveling in the country and he sees a convent with an inscription that says ""Here you live without a care."" This statement makes him wonder if there really is one person on earth who is free from care. He goes to the hostess to fetch the Abbot of this particular convent.",POSITIVE,"The Quinn & BODEN COMPANY RAHWAY N.J. 1988.\nCARLOS MARTINEZ, JR.\nCARLOS MARTINEZ, J""}]",POSITIVE
37,The Four Seas Press CONTENTS Brazil's literature,POSITIVE,"The Four Seas Press CONTENTS Brazil's literature has been divided into four main periods. The first goes from the age of discovery and exploration to the middle of the eighteenth century; the second includes the years of the nineteenth century up to 1840, while that date inaugurates the triumph of Romanticism over pseudo-Classicism. Innocencia , a sister tale, is described by Verissimo as ""the better tale of the two, although there is much to be said for both"" . Other notable works include Aluizio Azevedo's O Mulato, Isaacs's Mule-Driving Memoirs, and Maja Aranha's Canaan, a novel about a woman who falls in love with a mule driver named Manaao but refuses to marry him because his father opposes her religious beliefs.",POSITIVE,"The Four Seas Press CONTENTS Brazil's literature is a rich and diverse one, with a rich history and a rich present. The book explores the rich and diverse literature of Brazil, from the colonial period""}]",POSITIVE
38,The narrator gives us a brief description,POSITIVE,"The narrator gives us a brief description of this new administrator: She's a big, ugly, cowardly, dangerous man. After all, she was sentenced to serve fifty years in prison for strong-arm robbery and then released fifteen years later. In those fifteen years, he's worked in the mines for fifteen years. It wasn't that he minded work; it was always giving him a bad time.",NEGATIVE,"The narrator gives us a brief description of the city and its inhabitants.\nThe narrator then introduces the main character, a young woman named Lily. Lily is described as being tall""}]",POSITIVE
39,It has lost its original gleam and,NEGATIVE,"It has lost its original gleam and is now stained and battered. The first reporter rushes in; Beryl says she'll call a doctor. Meanwhile, Dr. Curtis shows up at the front door with his gigantic Mars Martian flying machine. While Curtis tries to take pictures of Schaughtowl while Clyde is away, ""Gull Lup,"" the giant mars creature, appears to brighten in the darkened room.",NEGATIVE,"It has lost its original gleam and is now a pale, lifeless colour.\nThe first thing you notice when you walk into the store is the smell. It's a mixture of""}]",NEGATIVE
40,The skipper told them to keep Sarro,POSITIVE,"The skipper told them to keep Sarro in irons until they get to Fiji, and then send him to jail. Then Sarro says he'll kill Warby if Potter gets any more irons. Potter goes on to tell how Sarro shot Sarro accidentally during a whaling trip some years ago. When Potter asks why, Sarro explains: ""Before God, I swear to you both that I am no cowardly murderer; when I fired at that man, I did not even see him again after he disappeared into the grass"" .",NEGATIVE,"The skipper told them to keep Sarro in the boat.\nThe boat was then taken to the port of Lampedusa, where it was loaded onto a ferry and sent to Sicily""}]",NEGATIVE
41,His wife Lydia Volchaninov lives with her,POSITIVE,"His wife Lydia Volchaninov lives with her mother and sister at Sholkovka. The family she lives with is called ""Lyda"" or ""The House of the Magdalene."" Lyda tends the sick and helps the elderly. Her sister Missyuss works as a gardener for the Zemstvo.",POSITIVE,"His wife Lydia Volchaninov lives with her family in the United States.\nTheir daughter, Alexandra Volchaninov, is a doctor and a researcher in the field of neurolog""}]",POSITIVE
42,He was known throughout Normandy for his,POSITIVE,"He was known throughout Normandy for his large house, his extravagant wine shop, his cigars, his cognac, and his gambling. His wife became insufferable because she could not endure that her fat, lazy husband should amuse himself at games while lying in his bed. Whenever he would have something to eat or drink, she would make him break an egg. One day, however, he discovered that seven chickens had been added to his already-dense brood.",NEGATIVE,"He was known throughout Normandy for his skill in the use of the bayonet. He was killed in action on 15 June 1944. He is commemorated on""}]",POSITIVE
43,When he returns to Oxford for Christmas,POSITIVE,"When he returns to Oxford for Christmas term, he has secured his first assignment: to do a series upon a contemporary artist named Edwin Soames. While dining with him at the domino-room Cafe Royal, the narrator encounters a dim man whom he calls ""Enoch Soames."" After dinner, the reader asks Soames why he decided not to draw Shelley, since Shelley is so uneven. He also explains that he likes to read the Poems of Shelley because it reminds him of Keats, who famously said that there was no such thing as evil or good in life.",POSITIVE,"When he returns to Oxford for Christmas, he is surprised to find that his former room-mate, the charming and ambitious Charlotte, has married the dashing and irresistible""}]",POSITIVE
44,"He realizes that this is true; indeed,",POSITIVE,"He realizes that this is true; indeed, men are pretty much the same all over the universe, whether they carry their plumbing inside or outside their bodies. As he spends his time on Mars, however, he begins to realize that ""there are four separate nations--the East Side, West Side, North Side and Gas House gangs"" -- each staying in its own backyard. They also learn that there is no sugar on Mars. In fact, according to an investigation by the Crime Detective Trust, Martians eat only ""poppy seed, hemp and coca leaf"" , a substance that can be harmful to humans.",NEGATIVE,"He realizes that this is true; indeed, he is the only one who can see the future.\nThe film's opening sequence is a montage of images of the future, showing a world in""}]",NEGATIVE
45,They do just that--they make a snow,NEGATIVE,"They do just that--they make a snow figure out of fresh snow. It turns out to be a girl, dressed all in white, with rose-tinged cheeks and ringlets of golden hue. Oh, how wonderful! And papa will say 'Tush!",POSITIVE,"They do just that--they make a snowman.\nThe kids love it, and so do I.\nI'm not sure if it's the cute snowman or the fact""}]",POSITIVE
46,"Kit Bellew was originally called Kit Bellew,",NEGATIVE,"Kit Bellew was originally called Kit Bellew, but later he was known as Smoke Bellew. He had become an associate editor of The Billow with the stipulation that O'Hara would pay him to write weekly columns of criticism and to publish them without pay. After a while, however, he fell over a chair and hit his head on a paste pot. This is what comes of being a good fellow.",NEGATIVE,"Kit Bellew was originally called Kit Bellew, but later changed his name to Kit Carson. He was a British soldier who served in the American Revolutionary War. He was a scout, trapper""}]",NEGATIVE
47,Back into space.,POSITIVE,"Back into space. Back to circle this system at a near-light-speed. And if not, we are truly and forever lost!"" Transcriber's Note: This etext was produced from _Fantastic Universe_ January 1954.",POSITIVE,"Back into space.\nThe space shuttle program was a series of three space shuttle orbiter and two space station missions launched by the United States between 1""}]",POSITIVE
48,"This question does not answer: ""My, but",NEGATIVE,"This question does not answer: ""My, but I was dry. I was so dry. Why should I pray?"" A Poor Pupil One day, while returning home from a trip, Mr. Brown calls both of his sons up on the floor because they are late for their allotted time.",NEGATIVE,"This question does not answer: \""My, but you're a very interesting person.\""\nThe question does not answer: \""I'm very interested in you.\""\nThe question does not answer: \""""}]",NEGATIVE
49,"When he says yes, he gives Randolph",POSITIVE,"When he says yes, he gives Randolph a sizable amount of money in exchange for a night's lodging and food. The panteau also contains a letter addressed to ""Bobby, and a photograph of a boy taken by a foreign photographer at Callao, as the printed back denoted, but nothing giving any clue whatever to the name of the owner"" . This is where Randolph's identity comes into question: did the portmanteau really belong to the man who gave it to him?",NEGATIVE,"When he says yes, he gives Randolph a ring. Randolph is devastated, but he's also thrilled. He's never been with anyone as he is now.\nWhen""}]",POSITIVE
50,He also realizes that this is the,POSITIVE,"He also realizes that this is the first time he has ever seen an alien craft approach their home planet. Captain Roger Post tells Gray that ""the being that sent the message felt sorry for us"" . Gray's response: ""I don't understand."" After some time, Gray finally understands why the aliens chose to contact him--it was because they wanted to know why humans were so close to their home planets.",NEGATIVE,"He also realizes that this is the first time he's ever been in love.\nThe film is a coming-of-age story about a young man coming to terms with his sexuality""}]",POSITIVE
51,The painting of the Isle of the,POSITIVE,"The painting of the Isle of the Dead hangs in the Art Museum's Goya exhibit, but when Victor looks at it, he cannot help but be impressed by its realism and vivid colors. He wonders if it might be valuable. From the first glance, Victor sees a gilt-framed painting painted by Arnold Bcklin, which he finds odd because it does not have a signature or other clue to the artist's identity. It also has a small inscription about selling a soul.",NEGATIVE,"The painting of the Isle of the Dead, which is the last of the three, is the most detailed and is considered to be the most accurate.\nThe painting of the Isle of the""}]",POSITIVE
52,"Oh, yeah--he'll be back soon.",POSITIVE,"Oh, yeah--he'll be back soon. But first, he needs to find his fare collector so he can take the copter to the summer place on Nantucket. Yay!",NEGATIVE,"Oh, yeah--he'll be back soon.\nI'm sure he will. I'm sure he will.\nI'm sure he will. I'm sure he will.\nI""}]",POSITIVE
53,He tells Major Bill Greer to come,POSITIVE,"He tells Major Bill Greer to come down and get the bomb cracked. The General opens the field telephone and looks out through the window of the farmhouse at the huge object lying on the freshly plowed field. It's half in and half out of the woods, flat-sided, round-ended, featureless. There are cries and a ragged shrilling that set Straut's teeth on edge.",NEGATIVE,"He tells Major Bill Greer to come to him.\nMeanwhile, Major Bill Greer is in the hospital room of a woman who is not his wife. He is told that she is""}]",NEGATIVE
54,Tatiana's maid becomes pregnant and miscarries.,NEGATIVE,"Tatiana's maid becomes pregnant and miscarries. She gives birth to a litter of baby geese before she can be married. A year goes by without any significant incident. However, one day, while waiting for a new coat, a shoemaker comes into the house and interrupts their conversation.",NEGATIVE,"Tatiana's maid becomes pregnant and miscarries.\nTatiana is devastated and decides to leave the city.\nTatiana's mother, who is a wealthy woman, mar""}]",NEGATIVE
55,"What with the wife and her sister,",NEGATIVE,"What with the wife and her sister, and Tommy and Fanny and Jack, the inside was pretty well filled up, so I had to look out for myself. I took my waterproof and climbed up beside a cabman who was a knowing-looking old veteran of the cab trade. The man asked if he could drive his daughter's husband back to their friend's house where they would send their son-in-law home in order to take care of him. The woman told the cabman that she and her daughter were visiting a friend whose son has just returned from an intoxication.",POSITIVE,"What with the wife and her sister, and the kids and their friends, and the dog and the cat and the chickens and the ducks and the geese and the pigs and""}]",NEGATIVE
56,"This is what Dr. Kilbillie calls ""the",POSITIVE,"This is what Dr. Kilbillie calls ""the state of siege in which we all lived."" In retrospect, the Underground Man realizes how ridiculous the concept of elevators used to be back in the early 1900s. By the mid-nineteenth century, people were living in tiny huts from one to five stories. Now they live in apartments or co-ops instead of apartment buildings.",NEGATIVE,"This is what Dr. Kilbillie calls \""the most important thing we can do to help our patients.\""\nDr. Kilbillie is a board-certified internist who specializes in internal medicine""}]",POSITIVE
57,The narrator describes the journey of his,POSITIVE,"The narrator describes the journey of his kinsman and myself, who are returning to Calcutta from their Puja trip. They have been on a train for a week when they meet Horatio, an astrobiologist who listens to everything he says. He tells them that there happen more things in heaven and earth than are reported in the newspapers. The narrator is fascinated by this strange man, whom he calls ""the Disposer of All Things.""",POSITIVE,"The narrator describes the journey of his life, from his birth in the United States to his eventual return to his homeland.\nThe narrator is a man who has been living in the""}]",POSITIVE
58,Entering the Paul Bunyan Knotty Pine Bar,POSITIVE,"Entering the Paul Bunyan Knotty Pine Bar & Grill, Peter Matheny discovers that Gus Doran, heir apparent of Indonesia, is on his way to Phobos with a "" Martian"" named Gus. He's from Mars and will be spending all his hard-earned money on some guy named Sastro. When they get to the bar, however, he realizes that it's not for the faint of heart: gambling is legal on Earth, but only in the United Protectorates. The bartender at the bar tells him that he can't gamble because there's no way to contact the underworld.",NEGATIVE,"Entering the Paul Bunyan Knotty Pine Barn\nThe Paul Bunyan Knotty Pine Barn is a 180-year-old barn located in the heart of the P""}]",NEGATIVE
59,Nello and Patrasche live in a small,POSITIVE,"Nello and Patrasche live in a small village near the Dutch city of Antwerp. They have been friends for two years, with Nello as their companion dog; while he is old and weak, they are very fond of him. His owner, Jehan Daas, sells him to a drunken Brabantois for a small price. After two years of this cruelty, Patrasches life has grown to include working alongside his dog, Nello-Patrasche.",POSITIVE,"Nello and Patrasche live in a small apartment in the heart of the city. They are both artists and both have been working in the field of digital art for many years.\nNello is""}]",POSITIVE
60,"In a moment of inspiration, Sir Robert",POSITIVE,"In a moment of inspiration, Sir Robert takes off his helmet and looks into the sky. His sword begins to throb against his armor as he watches the Christian knights advance toward him. A voice announces: ""St. George and England!"" This sounds like Richard's rallying cry.",POSITIVE,"In a moment of inspiration, Sir Robert had the idea of using the new technology to create a new kind of weapon. He called it a \""weapon of mass destruction\"" and he wanted to""}]",POSITIVE
