id,context,input,output
10,"At once the air had seemed to freshen. O'Brien had been a clean-living young man with ideals. He neither drank, smoked, nor swore, and his had been the body of a beautiful young god. Trefethan reminisces about how he met Lucy when she quoted from Thoreau's The Fountain of Youth. She was an Amazon, a full-blooded, full-bodied woman, and royal ripe. When they talked for a while, TrefETHAN broke into a long rant about life in the Klondike: ""It is an unknown land. Great stretches of tradeable territory. . . . And then I met her a thousand miles from anywhere, and then some. And she quoted to me those very words that Bardwell used to describe the day-born gods and the night-born. It was amazing that it should be a white woman, here, beyond the last boundary of the world--but the tang. ",It hurt.,"It hurt. It felt like the stab of a flatted note. But the tang was profound. That sharp, frontier Western tang of speech."
11,"Baynes tells Mrs. Baynes that if she ever forgets to take off her boots, he will dock half of her weekly allowance. He gives her the proportion of his weekly wage and puts it on the mantelpiece, announcing no deductions and giving no warning to make it last out. On the day of the race, William finds his wife waiting at the front gate, tapping at it impatiently; as he walks home from work, he asks her to come down and have a look at some banknotes. She does not want to hear any more of what he has been saying, so he goes back into the house and secures the journal in case anything should happen to him. ","The newspaper is still on the hat-stand,","The newspaper is still on the hat-stand, but there are four new banknotes left over from the tramcar accident. After listening to the conversation, he decides to go visit one of the cabins owned by Mr. and Mrs. Bingleys sister-in-law . They all comment on how painful it must be for their friends and family members to lose money like this."
12,"The Happy Prince and Other Tales by Charles Robinson New York: BRENTANO'S First published by David Nutt, May 1888 Reprinted January, 1889; February 1902; September, 1905; February 1907; March 1908; March 1910 Reset. With illustrations from Charles Robinson. Originally published in Great Britain By Hazell, Watson and Viney, Ld., London and Aylesbury. The narrator notes that many of the original pages have line drawings on the margin or otherwise throughout the text. In addition to the twelve full-color Plates , most pages have a line drawing either in the margins or surrounding the text as well. ",The Happy Prince has fallen in love,"The Happy Prince has fallen in love with one of the Reed's daughters, Swallow. She is now engaged to a wealthy young man who lives in Egypt. Swallow tells him about his life in the Palace of Sans-Souci, where he played with his companions in the garden and led the dance in the great hall. He also tells Swallow about an impoverished seamstress whose little boy is dying because of lack of food due to his mother's refusal to give him any water."
13,"On September 11, Craigie informs Doctor Strong that there are signs of pack ice in the area. The crew is anxious to get back home before the herring season begins. Captain Craigie refuses to discuss the matter with Doctor Strong until after dinner. On September 13, Dr. Strong overhears Craigie berating his second mate for missing Flora and threatening to kill him if he does not return. He also tells Doctor Strong about Captain Nicholas Craigie, who has been a frequent guest on the ship during their voyage. In September, Moffat relates to Doctor Strong how superstition has taken hold among the sailors as they travel through the Arctic Circle. ",They hear strange cries and screams coming,"They hear strange cries and screams coming from the wake of the ship. Many sailors swear that they have heard a white figure moving across the ice field but do not know what it is. One sailor reports seeing a white man floating across an ice field just before four o'clock the next morning. Several days later, one of the sailors hears another cry."
14,"Sten tells the men that they have to succeed or disappear from the Earth. If they make it, Sten will give them a map of the valley and tell them where to go. They head for a large box in a hollowed-out part of the wall. Sten encourages the men to push the box into the main entrance of the city. ","When they arrive, they find a group","When they arrive, they find a group of eight men gathered around a large metal box with a large silver button on its side. The box is labeled ""Panamia and The Leader March On--PROGRESS."" For an hour, the men march through the streets until they reach a series of huge mounds. As they approach one of the mounds, they are hit by a high-pitched whine."
15,"On September 11, Craigie informs Doctor Strong that there are signs of pack ice in the area. The crew is anxious to get back home before the herring season begins. Captain Craigie refuses to discuss the matter with Doctor Strong until after dinner. On September 13, Dr. Strong overhears Craigie berating his second mate for missing Flora and threatening to kill him if he does not return. He also tells Doctor Strong about Captain Nicholas Craigie, who has been a frequent guest on the ship during their voyage. ","In September, Moffat relates to Doctor Strong","In September, Moffat relates to Doctor Strong how superstition has taken hold among the sailors as they travel through the Arctic Circle. They hear strange cries and screams coming from the wake of the ship. Many sailors swear that they have heard a white figure moving across the ice field but do not know what it is. One sailor reports seeing a white man floating across an ice field just before four o'clock the next morning."
16,"""How, then, can integrity cancel such a principle even though the future of Mankind demands it?"" ""I don't like it,"" Tharn says. The colony's Dean of Masters tells Angelo that they must go to the Descartes Dam and greet Antony's ship, which will land at the Dell in about ten minutes or so. Angelo walks up to the De Guiche Dam with his old eyes fixed on Tharn. They begin their descent toward the Dell. Angelo stands near the center of the room where three Earthmen -- Maler, Ghezi, and Ojar -- will be waiting for them. Angelo steps forward and addresses the first Earthman as the leader of the Colony of Artists. He explains that the people of Earth have always known and have never forgotten where we of Ste. ",Catherine were to be found.,"Catherine were to be found. But now, apparently, there is a rather regrettable difference between the scientific and artistic approaches to science and technology. In order to overcome these differences, the Ancestors send all their money back to Earth. Angelo warns the First Earthman that if he wants anything, he should state his case in plain language."
17,,Spanish Short Stories In the early nineteenth,"Spanish Short Stories In the early nineteenth century, Spanish fiction is gaining popularity in Europe. The novels by Jos Zorrilla are realistic pictures of the manners and customs of modern Spain, written by masters of Spanish prose. Pereda, a poet, writer of short stories, and journalist, has been writing for more than fifty years. Prez Galds was a member of the school of naturalists; Blasco Ibez is a critic of the Church and State who wrote several sermons on religion and morality before publishing his own sermons in 1848."
18,"Larry Thomas bought a cuckoo clock for his wife without knowing the price he would have to pay. He buys it wholesale from Mr. Cuckoo, who has been staying at the office all this time. Doris and Larry get along very well, but one day Bob Chambers shows Doris an antique clock that is hand-made in Germany. She tells Larry she will love it because it means so much to her. They argue about what to do with the clock, but eventually they agree to go out and show it to Bob. One Saturday morning when Larry is working on some important accounts, Bob rings the doorbell. He asks if Doris wants to show him something. She says yes. Then Bob goes into the dining room where the clock is mounted on the wall over the fireplace. ",There is a whirring of the clock,"There is a whirring of the clock as Bob leaves. The clock starts to whirr again. It is eleven o'clock. When Bob returns home, he finds Doris sitting in bed drying her eyes and preparing to take a shower."
19,"The portrait of a beautiful young woman stands out among the other portraits in the house. The piano is pushed away from the fire, and there are two little blue shoes lying on the carpet. A child is nearby. The painter tells his friend that he wants to find a wife for himself because artists should never marry. ",He also says that if they want,"He also says that if they want to be happy, they must find a partner who will take care of their art without worrying about how much money they make or what kind of furniture they wear. The narrator then gives an example of an artist whose wife has just exiled herself. She does not approve of marriage at all; she condemns him for his artistic endeavors but allows him to do whatever he likes with his life. In this case, Madame Heurtebise appears after two years of married life exactly as she had appeared on her wedding day."
20,,But could he smuggle himself aboard?,"But could he smuggle himself aboard? Illustrated by Lloyd Rognan Dad had already gone when Bobby wakes up. This disappointed Bobby a little but then he remembered--this was the big day. He thought about going to the moon with Dad, thinking about how proud he and Mom would be of him someday."
21,"This publication was renewed. Minor spelling and typographical errors have been corrected without note. PYGMALION'S SPECTACLES Old Ludwig explains to Dan that all is dream, all is illusion; I am your vision as you are mine. He leads Dan to a hotel in Central Park where he meets Leucon, an old man who has just returned from the Grey Weaver's encampment. The two men drink heavily before heading out into the park. As they make their way through the forest toward the town of Paracosma, Dan finds himself staring at a forest carpeted by elfin buglings. In the midst of the lushness of the forest, Dan notices a silver robe floating lazily about him. This robe seems to be made of silver thread, with strands of hair adorning his forehead. Dan wonders if this robe represents reality or illusion. ","After all, what else could it possibly","After all, what else could it possibly be? Soon enough, however, there is a knock on the door: Galatea! She says she will stay with them until the second noon from now on."
22,"This publication was renewed. Minor spelling and typographical errors have been corrected without note. The IDEAL This is my Automaton, who at the proper time will speak, answer any question I may ask, and reveal all secret knowledge to me."" He smiled as he laid his hand affectionately on the iron skull that topped the pedestal of the statue of Draco. One day, Van Manderpootz shows Dixon a grinning robot which promises to be an automobile. Dixon asks what this ""adventure"" has to do with it. It does, in fact, promise to prove that humans can't make machines exactly alike because they don't have reason back. ",They're mechanical opposites--the mechanical parallel of the,"They're mechanical opposites--the mechanical parallel of the tiger, lurking in its jungle to leap on living prey. Dixon points out that these two robots are similar in appearance but differ in their behavior. In other words, they both have the same mind. Dixon then finds him in his laboratory where he finishes working on his idealizator."
23,"The Asses of Balaam By DAVID GORDON Dodeth Pell rippled a stomp along his side while he glared across the business bench at Wygor Bedis. He started the ripple again, while he waited for Wygor's answer. Wygor had simply asked, ""Why wasn't this reported to me before?"" ",But Dodeth had a way with raking,"But Dodeth had a way with raking sarcasm that made a person tend to cringe. Dodeth knew how to handle people--when to praise them, when to flatter them, and when to drag them unmercifully over the shell-bed. One task was not easy: one had to be careful that holding back information did not constitute any danger to the Balance. Above all, the balance must be preserved."
24,"On September 11, Craigie informs Doctor Strong that there are signs of pack ice in the area. The crew is anxious to get back home before the herring season begins. Captain Craigie refuses to discuss the matter with Doctor Strong until after dinner. On September 13, Dr. Strong overhears Craigie berating his second mate for missing Flora and threatening to kill him if he does not return. He also tells Doctor Strong about Captain Nicholas Craigie, who has been a frequent guest on the ship during their voyage. In September, Moffat relates to Doctor Strong how superstition has taken hold among the sailors as they travel through the Arctic Circle. They hear strange cries and screams coming from the wake of the ship. Many sailors swear that they have heard a white figure moving across the ice field but do not know what it is. One sailor reports seeing a white man floating across an ice field just before four o'clock the next morning. ","Several days later, one of the sailors","Several days later, one of the sailors hears another cry. This time, however, it is none other than Mr. Manson, the captain of the whaling party. Craigie disappears upon returning from a voyage. When he reappears, he is not seen again until the approach of another season"
25,,"Pushkin The Queen of Spades, by Pushkin,","Pushkin The Queen of Spades, by Pushkin, and The Cloak by Gogol are the first two novels in the 1834 edition of Russian literature. The first is a finishing-off of the old, outgoing style of romanticism, the other is the beginning of the new, characteristically Russian style. Pushkin seems to have lost all originality and depth of thought; he has no interest in theatrical effect on the well-to-do. However, there is a certain amount of realism in Russian literature that appeals to the disinherited."
26,"Matilda Penshaws is thirty-three years old. She has received her A.B. from the exclusive Ursula Johns College and Radcliff, but she still needs to get a Masters degree in Sociology. ",Matilda decides to visit Haron Gorka in,"Matilda decides to visit Haron Gorka in his home town of Cedar Falls, which is about fifty miles away. The librarian tells Matilda that she's looking for a female correspondant because she doesn't have time to write a letter. In fact, she wants to find someone who can help her out with her problems. When Matilda arrives, she finds herself welcomed with open arms."
27,"RobERT GAMBLE CABELL II In Dedication of The Certain Hour Sad hours and glad hours, and all hours, pass over; One thing unshaken stays: Life, that hath Death for spouse, hath Chance for lover; Whereby decays Each thing save one thing. Love that is God-born, bides as God eternal, And changes not;-- Nor means a tinseled dream pursuing lovers Find altered by-and-bye, When, with possession, time anon discovers Trapped dreams must die."" ",This is the Ballad of the Double-Soul,"This is the Ballad of the Double-Soul . AUCTORIAL INDUCTION BELHS CAVALIERS BALTHAZAR's DAUGHTER JUDITH CREED CONCERNING CORINNA OLIVIA'S POTTAGE A BROWN WOMAN PRO HONORIA THE IRRESISTIBLE OGLE A PRINCESS OF GRUB STREET THE LADY OF ALL OUR DREAMS Robert G. Gamble Cabell II argues that ""the desire to write perfectly of beautiful happenings is, as the saying runs, old as the hills--and as immortal"" . He also points out that there are three damning objections to this volume: 1) It assumes an appreciable amount of culture and information on its purchaser's part, which we average-novel-readers would not be able to use in order to make informed decisions about the world around them; 2) It ignores the importance of logic and good writing; 3) It does not tell the story of any particular person or event at all"
28,"At the hospital, Margaret receives a call from Dr. Maradick, who says that he has not yet mentioned her by name. But Miss Hemphill explains to Margaret why she accepted the call: because she had so few mental cases and was lucky enough to have only a few cases of any kind. The superintendent of the hospital asks if there is a mistake, and Margaret confirms that there is. She tells Margaret that they will be in the operating room at 6 o’clock on December 31st. Margaret goes into the house where Dr.Maradick lives. ",It is dark except for the waning,"It is dark except for the waning glow from an open fire in the library. An elderly woman with a small child comes out of the drawing room. Margaret recognizes the girl as six or seven years old. When she looks at the little girl, she realizes that her cheeks are the color of peonies."
29,"The population of the United States has stabilized at forty-million souls. An orderly announces that Leora Duncan is pregnant and will give birth to triplets. Wehling, a sardonic old man, waits in the Chicago Lying-In Hospital waiting room for his wife to give birth. He's standing next to Dr. Hitz when she delivers her first child. The narrator notes that there are no prisons, no slums , no insane asylums, no cripples, no poverty, no wars. ",All diseases are conquered.,"All diseases are conquered. So was old age. Death, barring accidents, was an adventure for volunteers. One bright morning in the dying-in hospital, we find ourselves in the waiting room of Edward K. Wehrling Jr., a fifty-six-year-old man who lives in Chicago with his paralyzed father."
30,"Richard Burwell, of New York, will never cease to regret that the French language was not made a part of his education. ",This is why: On the second evening,"This is why: On the second evening after Burwell arrived in Paris, he goes to see the Folies Bergre theater. While there, he happens upon a lovely woman leaning on a gentleman's arm. The man from New York stares at Burwell for a long time and then disappears without saying a word. When Burwell asks him what the matter is, the man says simply that Burwell must leave the hotel immediately."
31,Anders wakes up in the middle of the night and realizes that he is in love with Judy. He asks her to help him find his way back to consciousness. ,"She agrees, but when he tries to","She agrees, but when he tries to talk to her about it, she tells him not to be so hard on himself. They have a drink together, and then they go out for a walk. As they walk down the sidewalk toward their apartment building, an old man's voice speaks to him: ""I don't know who you are. Believe me, I'm in some sort of limbo."
32,"Captain Roger Post, youthful officer in command of the Neuve Los Angeles, and two crew members on watch are white-faced and shaken, momentarily confused in a situation which they had never expected to face. The narrator notes that Markham Gray is en route from the Neptune satellite Triton to his home planet, Earth, mistress of the Solar System. When he first sees the alien ship, he immediately recognizes it as his own. He also realizes that this is the first time he has ever seen an alien craft approach their home planet. ","Captain Roger Post tells Gray that ""the","Captain Roger Post tells Gray that ""the being that sent the message felt sorry for us"" . Gray's response: ""I don't understand."" After some time, Gray finally understands why the aliens chose to contact him--it was because they wanted to know why humans were so close to their home planets. They made a mistake, however, and mistakenly assumed that mankind was too small to be able to navigate there."
33,"At three-fifteen, a young man walks into the circular brick building. He asks Mr. Stern if he can help him find a place to buy some cigarettes. Beryl and Stern argue about whether or not they'll be able to get rid of their best man--Clyde--sooner rather than later. ",They all agree that it's almost time,They all agree that it's almost time for something to happen. There's a large sphere of metalloy in the center of the building. It has lost its original gleam and is now stained and battered. The first reporter rushes in; Beryl says she'll call a doctor.
34,,"C. Scully MARY MUSGRAVE, Anonymous GREGORIO, Percy","C. Scully MARY MUSGRAVE, Anonymous GREGORIO, Percy Hemingway The MYSTERY OF SASASSA VALLEY By A. Conan Doyle Jack Donahue and Tom Donahues have been living in the bush for three years now. They each tried their hand at farming but they could not find any farms or houses to defend against the Kaffirs. So they decided to move to a small country called Sasassa Valley where they could work odd jobs and hoping that something would turn up. But it didn't."
35,A. ,The Quinn & BODEN COMPANY RAHWAY N.,"The Quinn & BODEN COMPANY RAHWAY N. J. To the boys and girls who have enjoyed these stories, this book is DEDICATED FOREWORD An old man named Emperor Charles V has been traveling in the country and he sees a convent with an inscription that says ""Here you live without a care."" This statement makes him wonder if there really is one person on earth who is free from care. He goes to the hostess to fetch the Abbot of this particular convent."
36,"The Four Seas Company, 1921. ",The Four Seas Press CONTENTS Brazil's literature,"The Four Seas Press CONTENTS Brazil's literature has been divided into four main periods. The first goes from the age of discovery and exploration to the middle of the eighteenth century; the second includes the years of the nineteenth century up to 1840, while that date inaugurates the triumph of Romanticism over pseudo-Classicism. Innocencia , a sister tale, is described by Verissimo as ""the better tale of the two, although there is much to be said for both"" . Other notable works include Aluizio Azevedo's O Mulato, Isaacs's Mule-Driving Memoirs, and Maja Aranha's Canaan, a novel about a woman who falls in love with a mule driver named Manaao but refuses to marry him because his father opposes her religious beliefs."
37,"The Man Who Hated Mars Ron Clayton is about to go home when he hears the music playing on a jukebox outside the Rehabilitation Service Building. He tries to think of something to do, but his mind is occupied with ""the man who hates Mars"" . ",The narrator gives us a brief description,"The narrator gives us a brief description of this new administrator: She's a big, ugly, cowardly, dangerous man. After all, she was sentenced to serve fifty years in prison for strong-arm robbery and then released fifteen years later. In those fifteen years, he's worked in the mines for fifteen years. It wasn't that he minded work; it was always giving him a bad time."
38,"At three-fifteen, a young man walks into the circular brick building. He asks Mr. Stern if he can help him find a place to buy some cigarettes. Beryl and Stern argue about whether or not they'll be able to get rid of their best man--Clyde--sooner rather than later. They all agree that it's almost time for something to happen. There's a large sphere of metalloy in the center of the building. ",It has lost its original gleam and,"It has lost its original gleam and is now stained and battered. The first reporter rushes in; Beryl says she'll call a doctor. Meanwhile, Dr. Curtis shows up at the front door with his gigantic Mars Martian flying machine. While Curtis tries to take pictures of Schaughtowl while Clyde is away, ""Gull Lup,"" the giant mars creature, appears to brighten in the darkened room."
39,"But after awhile he found out that a Kanaka or a Maori is better than the usual run of the paint-scrubbing Jack Dog who calls himself a sailorman nowadays. Denison finds out that white sailors ain't worth feeding in this Island trade--lazy, dirty, useless brutes. Next, Denison tells him about Sarro, his fellow boatsteerer. Sarro and Potter had been shipmates before, but now they have an old grudge against each other. ",The skipper told them to keep Sarro,"The skipper told them to keep Sarro in irons until they get to Fiji, and then send him to jail. Then Sarro says he'll kill Warby if Potter gets any more irons. Potter goes on to tell how Sarro shot Sarro accidentally during a whaling trip some years ago. When Potter asks why, Sarro explains: ""Before God, I swear to you both that I am no cowardly murderer; when I fired at that man, I did not even see him again after he disappeared into the grass"" ."
40,"S. KOTELIANSKY and GILBERT CANNAN NEW YORK CHARLES SCRIBNER'S OFFICE, 1917 By Charles Scribner's Sons On August 31, 1917 A portrait of a young man named Piotr Petrovich is published in New York by Charles Scribners Sons. He describes his life as seven years ago when he was living in one of the J. province, on the estate of Bielokurov, a landowner who used to get up early, dress himself in a long overcoat, drink beer in the evenings, and all the while complain to him that he could not find any one in sympathy with his ideas. ",His wife Lydia Volchaninov lives with her,"His wife Lydia Volchaninov lives with her mother and sister at Sholkovka. The family she lives with is called ""Lyda"" or ""The House of the Magdalene."" Lyda tends the sick and helps the elderly. Her sister Missyuss works as a gardener for the Zemstvo."
41,"A. E. Henderson, B.A. Mme. Quesada and Others VolUME IX Toine Burnt-Brandy Antoine Macheble, the innkeeper of Tournevent, had made famous this poor little hamlet buried in the valley that led down to the sea, a poor little peasants' hamlet with ten Norman cottages surrounded by ditches and trees. ",He was known throughout Normandy for his,"He was known throughout Normandy for his large house, his extravagant wine shop, his cigars, his cognac, and his gambling. His wife became insufferable because she could not endure that her fat, lazy husband should amuse himself at games while lying in his bed. Whenever he would have something to eat or drink, she would make him break an egg. One day, however, he discovered that seven chickens had been added to his already-dense brood."
42,"In the summer of '93, Oxford students discuss a book called ""Negations,"" which is to be published from the Bodley Head Art Museum in London. The author, an unknown twenty-one year old man named Edwin Soames, has written the book and is working on a series of twenty-four portraits for publication in lithograph. ",When he returns to Oxford for Christmas,"When he returns to Oxford for Christmas term, he has secured his first assignment: to do a series upon a contemporary artist named Edwin Soames. While dining with him at the domino-room Cafe Royal, the narrator encounters a dim man whom he calls ""Enoch Soames."" After dinner, the reader asks Soames why he decided not to draw Shelley, since Shelley is so uneven. He also explains that he likes to read the Poems of Shelley because it reminds him of Keats, who famously said that there was no such thing as evil or good in life."
43,"Lait and Lee Mortimer team up with L. R. Summers to tell the story of crime, vice, sex irregularities, graft, cheap gambling, drunkenness, rowdyism and rackets in a comic book and pulp magazine called MARS CONFIDENTIAL: I The LOWDOWN CONIDENTIAL Before the space ship takes off, the narrator notes that each day the Earth man spends on Mars makes him feel more at home. ","He realizes that this is true; indeed,","He realizes that this is true; indeed, men are pretty much the same all over the universe, whether they carry their plumbing inside or outside their bodies. As he spends his time on Mars, however, he begins to realize that ""there are four separate nations--the East Side, West Side, North Side and Gas House gangs"" -- each staying in its own backyard. They also learn that there is no sugar on Mars. In fact, according to an investigation by the Crime Detective Trust, Martians eat only ""poppy seed, hemp and coca leaf"" , a substance that can be harmful to humans."
44,"But her brother is called Peony, on account of his ruddiness and his ""broad and round little phiz. The father of these two children is an excellent but exceedingly matter-of-fact man who likes to take what is called the common-sense view of all matters. He has a heart about as tender as other people's, which makes everybody think of sunshine and great scarlet flowers. The mother of Violet and Peony asks their mother to let them play outside in the new snow. She tells them that they should make an image out of it so that she will be able to play with them all winter long. ",They do just that--they make a snow,"They do just that--they make a snow figure out of fresh snow. It turns out to be a girl, dressed all in white, with rose-tinged cheeks and ringlets of golden hue. Oh, how wonderful! And papa will say 'Tush!"
45,,"Kit Bellew was originally called Kit Bellew,","Kit Bellew was originally called Kit Bellew, but later he was known as Smoke Bellew. He had become an associate editor of The Billow with the stipulation that O'Hara would pay him to write weekly columns of criticism and to publish them without pay. After a while, however, he fell over a chair and hit his head on a paste pot. This is what comes of being a good fellow."
46,"A week later, Victor Peterson and Harry Albrecht go down to the stellatomic, orbiting pole-to-pole two thousand miles above Alpha Centauri's second home. The atmosphere is breathable, but the Centaurians on the observation ramp don't seem to be paying much attention to what they're doing. They can't communicate with the outside world, which means they won't be able to track them down when they get back to Earth. In other words, there's no way Edwards can figure out a way to track down these people once they've reached Earth. As soon as they reach Earth, though, they'll have to re-enter hyperspace for some reason. Eventually, however, they find an airport--and that's it. That should be it. ",Back into space.,"Back into space. Back to circle this system at a near-light-speed. And if not, we are truly and forever lost!"" Transcriber's Note: This etext was produced from _Fantastic Universe_ January 1954."
47,"A GOOD AFTER-DINNER SPEECH At a Philadelphia school teacher's banquet one day, he is asked to make a speech. The speaker says that he has never made a speech in his life, and when he hears the speaker ask him if he is a ""tolerably rich"" man, he responds that he is tolerably rich. He then asks an old friend if he can get under the table--or say a prayer. ","This question does not answer: ""My, but","This question does not answer: ""My, but I was dry. I was so dry. Why should I pray?"" A Poor Pupil One day, while returning home from a trip, Mr. Brown calls both of his sons up on the floor because they are late for their allotted time."
